path,top_level,exists,is_file,is_dir,suffix,size_bytes,file_kind,initial_category
.github/workflows/docker-build-push.yml,.github,True,True,False,.yml,940,"ASCII text, with CRLF, LF line terminators",CI_WORKFLOW_REVIEW
123,123,True,True,False,,464,SKIPPED_POTENTIAL_SENSITIVE,SENSITIVE_DO_NOT_OPEN
123.pub,123.pub,True,True,False,.pub,108,SKIPPED_POTENTIAL_SENSITIVE,SENSITIVE_DO_NOT_OPEN
_audit_findings/all_findings.csv,_audit_findings,True,True,False,.csv,58763,"CSV Unicode text, UTF-8 text",AUDIT_FINDINGS_REVIEW
_cleanup_backup_manifest.md,_cleanup_backup_manifest.md,True,True,False,.md,21978,SKIPPED_POTENTIAL_SENSITIVE,DOC_REVIEW
_migration_proposals/hermesops_selective_migration/docs/hermesops/AGENTS.md,_migration_proposals,True,True,False,.md,1038,"Unicode text, UTF-8 text, with CRLF line terminators",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/ARCHITECTURE.md,_migration_proposals,True,True,False,.md,1083,"Unicode text, UTF-8 text",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/ENVIRONMENT.hml.md,_migration_proposals,True,True,False,.md,636,"Unicode text, UTF-8 text",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/ENVIRONMENT.md,_migration_proposals,True,True,False,.md,1062,"Unicode text, UTF-8 text",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/PROJECT_CONTEXT.md,_migration_proposals,True,True,False,.md,1083,"Unicode text, UTF-8 text",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/README.md,_migration_proposals,True,True,False,.md,1038,"Unicode text, UTF-8 text, with CRLF line terminators",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/ROADMAP.md,_migration_proposals,True,True,False,.md,1083,"Unicode text, UTF-8 text",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/SECURITY.md,_migration_proposals,True,True,False,.md,1038,"Unicode text, UTF-8 text, with CRLF line terminators",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_ARCHITECTURE.md,_migration_proposals,True,True,False,.md,148,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_CODE_REVIEW_STANDARD.md,_migration_proposals,True,True,False,.md,365,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_DEBUGGING_STANDARD.md,_migration_proposals,True,True,False,.md,159,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_MEMORY_INTEGRATION.md,_migration_proposals,True,True,False,.md,522,"Unicode text, UTF-8 text, with CRLF line terminators",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_MODDING_POLICY.md,_migration_proposals,True,True,False,.md,287,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_POLICY.md,_migration_proposals,True,True,False,.md,127,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_PROMPTING_STANDARD.md,_migration_proposals,True,True,False,.md,460,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_REFACTORING_STANDARD.md,_migration_proposals,True,True,False,.md,119,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_SECURITY_BOUNDARIES.md,_migration_proposals,True,True,False,.md,517,"Unicode text, UTF-8 text, with CRLF line terminators",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_STACK_CATALOG.md,_migration_proposals,True,True,False,.md,251,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_TESTING_STRATEGY.md,_migration_proposals,True,True,False,.md,125,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_TOOLCHAIN.md,_migration_proposals,True,True,False,.md,513,"Unicode text, UTF-8 text, with CRLF line terminators",MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/CODEROS_WORKFLOW.md,_migration_proposals,True,True,False,.md,159,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/README.md,_migration_proposals,True,True,False,.md,149,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/evals/README.md,_migration_proposals,True,True,False,.md,14,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/examples/README.md,_migration_proposals,True,True,False,.md,14,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/modding/MODDING_SAFE_BOUNDARIES.md,_migration_proposals,True,True,False,.md,312,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/modding/README.md,_migration_proposals,True,True,False,.md,14,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/modding/asset_pipeline.md,_migration_proposals,True,True,False,.md,117,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/modding/config_patch_patterns.md,_migration_proposals,True,True,False,.md,120,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/modding/game_mod_project_structure.md,_migration_proposals,True,True,False,.md,118,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/modding/packaging_release.md,_migration_proposals,True,True,False,.md,109,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/modding/plugin_architecture.md,_migration_proposals,True,True,False,.md,97,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/modding/prohibited_modding_actions.md,_migration_proposals,True,True,False,.md,109,ASCII text,MIGRATION_PROPOSAL_DEFER
_migration_proposals/hermesops_selective_migration/docs/hermesops/coderos/modding/troubleshooting_mod_load_order.md,_migration_proposals,True,True,False,.md,111,ASCII text,MIGRATION_PROPOSAL_DEFER
