path	count	allowed_backend_api_v1	provider_like
/api/v1/ai-chat/providers	10	true	false
/api/v1/artifacts	27	true	false
/api/v1/artifacts/dd5936dc-d5f8-458a-8583-d93536700c8b	1	true	false
/api/v1/artifacts/dd5936dc-d5f8-458a-8583-d93536700c8b/download-url	1	true	false
/api/v1/auth/refresh	4	true	false
/api/v1/designer/banners/json	1	true	false
/api/v1/designer/form-options	24	true	false
/api/v1/designer/health	24	true	false
/api/v1/designer/jobs/22626fad-9ceb-56b0-80d4-51f3834c89fa/cancel	1	true	false
/api/v1/designer/jobs/22626fad-9ceb-56b0-80d4-51f3834c89fa/items/7352627b-9c46-5fb7-bb48-7f8093db3d09/adjust	1	true	false
/api/v1/designer/jobs/22626fad-9ceb-56b0-80d4-51f3834c89fa/items/7352627b-9c46-5fb7-bb48-7f8093db3d09/refresh-url	1	true	false
/api/v1/designer/templates	24	true	false
/api/v1/rag/audit/recent	24	true	false
/api/v1/rag/collections	26	true	false
/api/v1/rag/course-context/apoema-onboarding	26	true	false
/api/v1/rag/search	1	true	false
